sentence1,sentence2,score
एउटा विमान उडिरहेको छ।,हवाई जहाज उडिरहेको छ।,5.0
एउटा मान्छे ठूलो बाँसुरी बजाइरहेको छ।,एउटा मान्छे बाँसुरी बजाउँदै छ।,3.8
एक व्यक्ति पिज्जामा टुक्रा चिज फैलाउँदै छ।,एक जना मानिसले न पकाएको पिज्जामा टुक्रा पारेको चीज फैलाउँदै छ।,3.8
तीन जना चेस खेल्दै छन्।,दुई जना पुरुष चेस खेलिरहेका छन्।,2.6
एउटा मान्छे सेलो बजाउँदै छ।,बसेको मान्छे सेलो खेलिरहेको छ।,4.25
केही पुरुषहरू लडिरहेका छन्।,दुई पुरुष लडिरहेका छन्।,4.25
एउटा मान्छे धुम्रपान गर्दैछ।,एउटा मान्छे स्केटिङ गर्दैछ।,0.5
मान्छे पियानो बजाउँदै छ।,मान्छे गितार बजाउँदै छ।,1.6
एकजना मानिस गितार बजाउँदै गाउँदै छन्।,एउटी महिला ध्वनिक गितार बजाउँदै र गाउँदै छिन्।,2.2
एक व्यक्तिले बिरालोलाई छतमा फ्याँक्दैछ।,एक व्यक्तिले छतमा बिरालो फ्याँक्यो।,5.0
त्यो मानिसले अर्को मानिसलाई लट्ठीले प्रहार गर्यो।,त्यो मानिसले अर्को मानिसलाई लट्ठीले प्रहार गर्यो।,4.2
एउटी महिला कंगारुको बच्चा उठाएर समातिन्।,एउटी महिलाले एउटा बच्चा कङ्गारुलाई आफ्नो काखमा उठाएर समातिन्।,4.6
एउटा मान्छे बाँसुरी बजाउँदै छ।,एउटा मान्छे बाँसुरी बजाउँदै छ।,3.867
एक व्यक्ति कागजको टुक्रा फोल्ड गर्दैछ।,कोही कागजको टुक्रा फोल्ड गर्दै छन्।,4.667
एउटा मान्छे बाटोमा दौडिरहेको छ ।,एउटा पाण्डा कुकुर बाटोमा दौडिरहेको छ।,1.667
एउटा कुकुरले आफ्नो पीठबाट बेकन निकाल्न खोजिरहेको छ।,एउटा कुकुरले आफ्नो पीठमा रहेको बेकन खान खोजिरहेको छ।,3.75
ध्रुवीय भालु हिउँमा चिप्लिरहेको छ।,एउटा ध्रुवीय भालु हिउँमा चिप्लिरहेको छ।,5.0
एउटी महिला लेखिरहेकी छिन् ।,एउटी महिला पौडी खेलिरहेकी छिन्।,0.5
एउटा बिरालो बच्चाको अनुहारमा रगिरहेको छ।,एउटा बिरालो बच्चा विरुद्ध रगडिरहेको छ।,3.8
मान्छे घोडा चढ्दै छ।,एउटा मानिस घोडामा सवार छ।,5.0
एउटा मानिसले भाँडोमा तेल हाल्छ।,एउटा मानिसले भाँडोमा रक्सी हाल्दै छ।,3.2
एउटा मान्छे गितार बजाउँदै छ।,एउटी केटी गितार बजाउँदै छिन्।,2.8
एक पाण्डा स्लाइड तल सर्दै छ।,एक पान्डा स्लाइड तल स्लाइड।,4.6
एउटी महिला केही खाँदै छिन्।,एउटी महिला मासु खाँदै छिन्।,3.0
एउटी महिलाले आलुको बोक्रा हाल्नुहुन्छ।,एउटी महिला आलु बोक्दै छिन्।,5.0
केटा बाइकबाट खसेको थियो ।,एक केटा आफ्नो बाइकबाट खसेको छ।,4.8
महिला बाँसुरी बजाइरहेकी छिन् ।,एउटी महिला बाँसुरी बजाइरहेकी छिन्।,5.0
चीलबाट खरायो दौडिरहेको छ।,चीलबाट खरायो दौडिरहेको छ।,4.2
महिलाले रोटीको सुँगुरको मासु चप फ्राइरहेकी छिन्।,एउटी महिला रोटीको सुँगुरको मासु पकाउँदै छिन्।,4.2
एउटी केटी चङ्गा उडाउँदै छिन्।,दौडिरहेको केटी चङ्गा उडाइरहेकी छिन्।,4.0
एक जना मानिस मेकानिकल साँढेमा सवार छन्।,एकजना मानिस मेकानिकल साँढे सवार थिए।,4.0
मान्छे गितार बजाउँदै छ।,एउटा मान्छे गितार बजाउँदै छ।,4.909
एउटी महिला अन्य महिलासँग नाच्दै गाउँदै छिन्।,वर्षामा एउटी महिला नाच्दै गाउँदै।,3.0
एउटा मानिसले रोटी काट्दै छ।,एउटा मान्छे प्याज काट्दै छ।,2.4
एउटा मानिस प्यानमा तेल हाल्दै छ।,एकजना मानिस भाँडोमा तेल खन्याइरहेको छ।,4.2
सिंहले मानिससँग खेलिरहेको छ।,एउटा सिंहले दुई जना मानिससँग खेलिरहेको छ।,3.4
एउटा कुकुर स्केटबोर्ड चलाउँछ।,एउटा कुकुर स्केटबोर्डमा सवार छ।,5.0
कोही मूर्ति कोर्दैछन्।,एकजना मानिस मूर्ति कोर्दै छन्।,3.75
एउटी महिला प्याज काट्दै छिन्।,एउटा मान्छे प्याज काट्दै छ।,2.75
एउटी महिला झींगाको बोक्रा तान्दै।,एउटी महिला झिंगा छिलिरहेको छ।,5.0
एउटी महिला माछा फ्राइरहेकी छिन्।,एउटी महिला माछा पकाउँदै।,4.0
एउटी महिला इलेक्ट्रिक गितार बजाउँदै छिन्।,एउटी महिला गितार बजाउँदै छिन्।,3.6
बाघको बच्चा बलसँग खेलिरहेको छ।,एउटा बच्चा पुतलीसँग खेलिरहेको छ।,1.6
एक व्यक्ति टमाटर काट्दै छ।,एक व्यक्तिले मासु काट्दै छ।,1.75
एक व्यक्ति प्याज काट्दै छ।,एक व्यक्ति प्याज काट्दै छ।,5.0
एउटा मान्छे पियानो बजाउँदै छ।,एउटी महिला भायोलिन बजाइरहेकी छिन्।,1.0
एउटी महिला बाँसुरी बजाइरहेकी छिन्।,एकजना मानिस गितार बजाइरहेका छन्।,1.0
एउटा मान्छे आलु काट्दै छ।,एउटा मानिस गाजर काट्दै छ।,2.375
एउटा बच्चा गितार बजाउँदै छ।,एउटा केटा गितार बजाउँदै छ।,3.8
एउटा केटा गितार बजाउँदै छ।,एउटा मान्छे गितार बजाउँदै छ।,3.2
एकजना मानिस गितार बजाइरहेका छन्।,एउटा केटा गितार बजाउँदै छ।,3.2
एउटा सानो केटा किबोर्ड खेलिरहेको छ।,एउटा केटा किबोर्ड खेलिरहेको छ।,4.4
एउटा मान्छे गितार बजाउँदै छ।,एक जना मानिस इलेक्ट्रिक गिटार बजाइरहेका छन्।,3.75
एउटा कुकुरले बच्चा चाट्छ।,एउटा कुकुरले बच्चा चाटिरहेको छ।,4.75
एउटी महिला प्याज काट्दै छिन्।,एउटा मान्छे प्याज काट्दै छ।,3.2
एकजना मानिस गितार बजाइरहेका छन्।,एकजना मानिस ड्रम बजाइरहेका छन्।,1.556
एउटी महिला खुर्सानी काटिरहेकी छिन्।,एउटी महिला रातो मिर्च काट्दै छिन्।,3.938
एकजना मानिस ड्रम बजाइरहेका छन्।,एक जना मानिस ड्रम बजाउँछन्।,5.0
एउटी महिला घोडा चढ्छिन्।,एउटी महिला घोडा चढिरहेकी छिन्।,5.0
एउटा मानिस रुखको छेउमा केरा खाइरहेको छ।,एक मानिस केरा खाँदै छ।,4.0
एउटा बिरालो किबोर्ड खेलिरहेको छ।,एकजना मानिस दुईवटा किबोर्ड बजाउँदै छन्।,1.6
एउटा मानिसले बञ्चरोले रूख काट्छ।,एउटा मानिसले बञ्चरोले रुख काट्यो।,4.75
एक बच्चा खेलौना फोन संग खेल्छ।,एउटा सानो केटा खेलौना फोनसँग खेल्दै छ।,3.5
एकजना मानिस मोटरसाइकल चलाउँदै छन्।,एकजना मानिस घोडा चढ्दै छन्।,1.4
एकजना मानिस मोटरसाइकल चलाउँदै छन्।,एकजना मानिस घोडा चढ्दै छन्।,1.4
एउटा गिलहरी सर्कलमा घुमिरहेको छ।,एक गिलहरी सर्कलमा वरिपरि दौडन्छ।,4.0
एक पुरुष र एक महिला चुम्बन गर्दै छन्।,एक पुरुष र महिला चुम्बन।,5.0
एउटा मान्छे कारमा चढ्दै छ।,एउटा मानिस ग्यारेजमा कारमा चढ्दै छ।,3.833
एउटा मान्छे नाचिरहेको छ।,एउटा मान्छे बोल्दै छ।,0.6
एकजना मानिस गितार बजाउँदै गाउँदै छन्।,एकजना मानिस गितार बजाइरहेका छन्।,2.917
एक व्यक्ति च्याउ काट्दै छ।,एक व्यक्ति चक्कुले च्याउ काट्दै छ।,4.2
बाघको बच्चा आवाज निकाल्दै छ।,एउटा बाघ घुमिरहेको छ।,2.0
एक व्यक्ति प्याज काट्दै छ।,एकजना मानिस प्याज बोक्दै छन्।,2.6
एउटा मान्छे पियानो बजाउँदै छ।,एउटा मानिस तुरही बजाउँदै छ।,1.6
एउटी महिला आलु बोक्दै छिन्।,एउटी महिला स्याउ बोक्दै छिन्।,2.0
पङ्कडाले बाँस खाँदैछ।,पाण्डा भालुले केही बाँस खाइरहेको छ।,4.2
एकजना मानिस प्याज बोक्दै छन्।,एक व्यक्ति बैंगन बोक्दै छ।,2.0
एउटा बाँदरले अर्को बाँदरलाई धकेल्छ।,बाँदरले अर्को बाँदरलाई धकेल्यो ।,4.8
एक गिलहरी सर्कलमा वरिपरि दौडन्छ।,एउटा गिलहरी सर्कलमा घुमिरहेको छ।,4.4
एकजना मानिस आफ्नो जुत्ता बाँधिरहेको छ।,एकजना मानिसले आफ्नो जुत्ता बाँध्छ।,5.0
एउटा केटा गाउँदै र पियानो बजाउँदै छ।,एउटा केटा पियानो बजाउँदै छ।,3.0
एउटा कुकुर तरबूज खाइरहेको छ।,एउटा कुकुरले तरबूजको टुक्रा खाइरहेको छ।,4.25
एउटी महिला ब्रोकाउली काट्दै छिन्।,एउटी महिला चक्कुले ब्रोकाउली काट्दै छिन्।,4.25
एक जना मानिस आलुको बोक्रा हाल्दै छ।,एक जना मानिसले आलुको बोक्रा हाले।,3.8
एउटी महिला गितार बजाउँदै छिन्।,एउटा मान्छे गितार बजाउँछ।,2.4
एउटी महिला टमाटर काट्दै छिन्।,एउटा मान्छे प्याज काट्दै छ।,1.6
एक मानिस पानीमुनि पौडी खेल्दै छ।,एउटी महिला पानीमुनि पौडी खेलिरहेकी छिन्।,2.0
एक पुरुष र महिला कुरा गर्दै छन्।,एक पुरुष र महिला खाइरहेका छन्।,1.6
एउटा सानो कुकुरले योग बललाई पछ्याइरहेको छ।,एउटा कुकुरले बललाई पछ्याइरहेको छ।,4.0
पुरुषहरु क्रिकेट खेलिरहेका छन् ।,पुरुषहरू बास्केटबल खेलिरहेका छन्।,2.2
एकजना मानिस मोटरसाइकलमा सवार छन्।,एक पुरुष मोटरसाइकलमा सवार छन्।,4.4
